,Neighborhood ID,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
1,0,40.89470517661,-73.84720052054902,Ripe Kitchen & Bar,40.898151685683544,-73.83887499584462,Caribbean Restaurant
2,0,40.89470517661,-73.84720052054902,Ali's Roti Shop,40.89403569556059,-73.8569349369388,Caribbean Restaurant
3,0,40.89470517661,-73.84720052054902,Jackie's West Indian Bakery,40.88928305984094,-73.84330953453158,Caribbean Restaurant
4,0,40.89470517661,-73.84720052054902,Kingston Tropical Bakery,40.88856833846213,-73.859884895533,Bakery
5,0,40.89470517661,-73.84720052054902,Jimbo's,40.89174013088267,-73.85822584571335,Burger Joint
6,0,40.89470517661,-73.84720052054902,CVS pharmacy,40.90508797306639,-73.85803311170697,Pharmacy
7,0,40.89470517661,-73.84720052054902,Anna Artuso's Pastry Shop,40.902991476793524,-73.86583900922629,Bakery
8,0,40.89470517661,-73.84720052054902,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
9,0,40.89470517661,-73.84720052054902,Katonah Pizza and Pasta,40.89878411126604,-73.86745706580207,Pizza Place
10,0,40.89470517661,-73.84720052054902,Rite Aid,40.896649,-73.8448461,Pharmacy
11,0,40.89470517661,-73.84720052054902,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
12,0,40.89470517661,-73.84720052054902,Fish & Ting,40.885656,-73.829197,Caribbean Restaurant
13,0,40.89470517661,-73.84720052054902,The Heritage,40.903308765755874,-73.86599093692857,Pub
14,0,40.89470517661,-73.84720052054902,Patrizia's Of Woodlawn,40.900638399332884,-73.86772361835486,Italian Restaurant
15,0,40.89470517661,-73.84720052054902,Avitable Bros. Deli,40.902440543558015,-73.8637913673582,Deli / Bodega
16,0,40.89470517661,-73.84720052054902,Angelo's Pizza,40.902989327530356,-73.86522638580433,Pizza Place
17,0,40.89470517661,-73.84720052054902,Rambling House,40.898439240536966,-73.86719657644849,Pub
18,0,40.89470517661,-73.84720052054902,Rite Aid,40.8890623,-73.8429927,Pharmacy
19,0,40.89470517661,-73.84720052054902,Bx Uptown Caribbean Taste,40.89017774427359,-73.8592237522725,Caribbean Restaurant
20,0,40.89470517661,-73.84720052054902,Rory Dolan's,40.90488814260222,-73.8687924387204,Bar
21,0,40.89470517661,-73.84720052054902,Dyre Fish Market,40.889317642958616,-73.83145257358296,Seafood Restaurant
22,0,40.89470517661,-73.84720052054902,Alfredo's Pizzeria,40.91112293957402,-73.83688949854243,Pizza Place
23,0,40.89470517661,-73.84720052054902,John Muir Nature Trail,40.899504,-73.873027,Trail
24,0,40.89470517661,-73.84720052054902,Gold Star Jerk And Seafood Center,40.883432874873115,-73.8628134208843,Caribbean Restaurant
25,0,40.89470517661,-73.84720052054902,Roc A Tone Restaurant,40.88262,-73.86313,Seafood Restaurant
26,0,40.89470517661,-73.84720052054902,Sugar Bowl,40.89928393106695,-73.83338561318352,Breakfast Spot
27,0,40.89470517661,-73.84720052054902,Foodtown,40.91284546321312,-73.83565798975138,Grocery Store
28,0,40.89470517661,-73.84720052054902,Mario's Pizza,40.88862762439113,-73.83126012557018,Pizza Place
